Date,Sales
27/09/2011,5
27/09/2011,23
13/12/2011,40
13/12/2011,1
16/12/2011,50
16/12/2011,20
16/12/2011,10
19/12/2011,2
20/12/2011,10
20/12/2011,10
20/12/2011,1
20/12/2011,1
20/12/2011,10
20/12/2011,1
20/12/2011,5
20/12/2011,25
20/12/2011,2
21/12/2011,1
21/12/2011,2
21/12/2011,3
21/12/2011,2
21/12/2011,10
21/12/2011,1
21/12/2011,1
21/12/2011,3
21/12/2011,5
22/12/2011,20
22/12/2011,1
22/12/2011,2
22/12/2011,30
22/12/2011,10
22/12/2011,2
22/12/2011,2
22/12/2011,1
23/12/2011,1
26/12/2011,3
26/12/2011,1
26/12/2011,5
26/12/2011,5
26/12/2011,15
26/12/2011,25
26/12/2011,4
26/12/2011,3
26/12/2011,2
26/12/2011,1
26/12/2011,1
26/12/2011,1
26/12/2011,1
26/12/2011,1
26/12/2011,1
27/12/2011,25
27/12/2011,450
27/12/2011,15
27/12/2011,2
27/12/2011,2
27/12/2011,5
27/12/2011,5
27/12/2011,1
28/12/2011,4
28/12/2011,2
28/12/2011,10
28/12/2011,6
28/12/2011,29
28/12/2011,1
28/12/2011,1
28/12/2011,-10
28/12/2011,1
28/12/2011,1
28/12/2011,-1
28/12/2011,-1
28/12/2011,1
29/12/2011,3
29/12/2011,15
30/12/2011,1
30/12/2011,20
30/12/2011,3
02/01/2012,4
02/01/2012,3
02/01/2012,100
03/01/2012,5
03/01/2012,20
04/01/2012,2
04/01/2012,10
05/01/2012,1
05/01/2012,1
05/01/2012,8
05/01/2012,8
05/01/2012,3
05/01/2012,3
05/01/2012,1
05/01/2012,2
05/01/2012,2
05/01/2012,2
05/01/2012,5
05/01/2012,3
05/01/2012,5
05/01/2012,6
05/01/2012,6
05/01/2012,2
05/01/2012,2
05/01/2012,10
05/01/2012,2
05/01/2012,1
05/01/2012,1
05/01/2012,1
05/01/2012,10
05/01/2012,5
05/01/2012,32
05/01/2012,10
05/01/2012,2
05/01/2012,10
05/01/2012,50
05/01/2012,10
05/01/2012,10
05/01/2012,5
05/01/2012,10
05/01/2012,10
05/01/2012,10
05/01/2012,10
05/01/2012,10
05/01/2012,20
05/01/2012,10
05/01/2012,25
05/01/2012,5
05/01/2012,10
05/01/2012,5
05/01/2012,5
05/01/2012,5
05/01/2012,3
05/01/2012,1
05/01/2012,5
05/01/2012,6
05/01/2012,8
05/01/2012,1
05/01/2012,1
05/01/2012,2
05/01/2012,3
05/01/2012,3
05/01/2012,1
05/01/2012,25
05/01/2012,25
05/01/2012,1
05/01/2012,1
05/01/2012,125
05/01/2012,50
05/01/2012,25
05/01/2012,25
05/01/2012,1
05/01/2012,2
05/01/2012,2
05/01/2012,25
05/01/2012,25
05/01/2012,25
05/01/2012,25
05/01/2012,25
05/01/2012,25
05/01/2012,25
05/01/2012,25
05/01/2012,3
05/01/2012,2
05/01/2012,1
05/01/2012,1
05/01/2012,2
05/01/2012,1
05/01/2012,2
05/01/2012,1
05/01/2012,1
05/01/2012,1
05/01/2012,1
05/01/2012,4
05/01/2012,3
05/01/2012,1
05/01/2012,3
05/01/2012,2
05/01/2012,1
05/01/2012,25
05/01/2012,25
05/01/2012,1
05/01/2012,25
05/01/2012,25
05/01/2012,25
05/01/2012,10
05/01/2012,10
05/01/2012,10
05/01/2012,5
05/01/2012,3
05/01/2012,2
05/01/2012,5
06/01/2012,1
06/01/2012,25
06/01/2012,25
06/01/2012,25
06/01/2012,1
06/01/2012,10
06/01/2012,40
06/01/2012,100
06/01/2012,5
06/01/2012,5
06/01/2012,1
06/01/2012,4
06/01/2012,4
06/01/2012,1
06/01/2012,3
06/01/2012,2
06/01/2012,4
06/01/2012,2
06/01/2012,2
06/01/2012,1
06/01/2012,3
06/01/2012,8
06/01/2012,8
06/01/2012,2
06/01/2012,4
06/01/2012,500
06/01/2012,8
06/01/2012,30
06/01/2012,7
06/01/2012,10
06/01/2012,10
06/01/2012,5
06/01/2012,2
06/01/2012,30
06/01/2012,3
06/01/2012,5
06/01/2012,2
06/01/2012,2
06/01/2012,1
06/01/2012,5
06/01/2012,5
06/01/2012,5
06/01/2012,25
06/01/2012,20
06/01/2012,2
06/01/2012,20
06/01/2012,14
06/01/2012,10
06/01/2012,10
06/01/2012,5
06/01/2012,2
06/01/2012,20
06/01/2012,2
06/01/2012,10
06/01/2012,2
06/01/2012,2
06/01/2012,1
06/01/2012,12
06/01/2012,2
06/01/2012,10
06/01/2012,1
06/01/2012,1
06/01/2012,50
06/01/2012,2
06/01/2012,1
06/01/2012,1
06/01/2012,200
06/01/2012,2
06/01/2012,25
06/01/2012,1
06/01/2012,5
06/01/2012,1
06/01/2012,2
06/01/2012,1
06/01/2012,1
06/01/2012,2
06/01/2012,1
06/01/2012,1
06/01/2012,25
06/01/2012,25
06/01/2012,-5
06/01/2012,25
06/01/2012,2
06/01/2012,1
06/01/2012,2
06/01/2012,1
06/01/2012,3
06/01/2012,3
06/01/2012,3
06/01/2012,3
06/01/2012,2
06/01/2012,16
08/01/2012,14
08/01/2012,40
09/01/2012,3
09/01/2012,10
09/01/2012,33
09/01/2012,0
09/01/2012,12
09/01/2012,10
10/01/2012,2
10/01/2012,2
10/01/2012,3
10/01/2012,1
10/01/2012,1
10/01/2012,5
10/01/2012,25
10/01/2012,5
10/01/2012,50
10/01/2012,1
10/01/2012,2
10/01/2012,1
10/01/2012,1
10/01/2012,2
10/01/2012,2
10/01/2012,2
10/01/2012,1
10/01/2012,25
10/01/2012,25
10/01/2012,25
10/01/2012,25
10/01/2012,25
10/01/2012,25
10/01/2012,5
10/01/2012,10
10/01/2012,10
10/01/2012,10
10/01/2012,10
10/01/2012,10
10/01/2012,10
10/01/2012,10
10/01/2012,14
10/01/2012,6
10/01/2012,3
10/01/2012,20
10/01/2012,20
10/01/2012,1
10/01/2012,25
10/01/2012,25
10/01/2012,25
10/01/2012,25
10/01/2012,25
10/01/2012,-25
10/01/2012,-25
10/01/2012,2
10/01/2012,3
10/01/2012,1
10/01/2012,1
10/01/2012,25
10/01/2012,15
10/01/2012,1
10/01/2012,1
10/01/2012,3
10/01/2012,30
10/01/2012,2
10/01/2012,1
10/01/2012,25
10/01/2012,1
10/01/2012,3
10/01/2012,200
10/01/2012,1
10/01/2012,1
10/01/2012,2
10/01/2012,-20
10/01/2012,1
10/01/2012,5
10/01/2012,5
10/01/2012,25
10/01/2012,10
10/01/2012,15
10/01/2012,15
10/01/2012,15
10/01/2012,3
10/01/2012,2
10/01/2012,2
10/01/2012,25
10/01/2012,1
10/01/2012,25
